"","STN012.30.pre.poly.3.LG","STN012.300.pre.poly.3.LG","STN012.730.pre.poly.3.LG","STN014.300.pre.poly.3.LG","STN014.40.pre.poly.3.LG","STN014.460.pre.poly.3.LG","STN014.580.pre.poly.3.LG","STN014.700.pre.poly.3.LG","STN014.860.pre.poly.3.LG","STN056a.150.pre.poly.3.LG","STN056a.170.pre.poly.3.LG","STN056a.310.pre.poly.3.LG","STN056b.190.pre.poly.3.LG","STN056b.30.pre.poly.3.LG","STN056b.350.pre.poly.3.LG","STN056b.390.pre.poly.3.LG","STN056b.410.pre.poly.3.LG","STN056b.90.pre.poly.3.LG","STN068.190.pre.poly.3.LG","STN068.257.pre.poly.3.LG","STN068.30.pre.poly.3.LG","STN068.90.pre.poly.3.LG","STN078.100.pre.poly.3.LG","STN078.180.pre.poly.3.LG","STN078.20.pre.poly.3.LG","STN078.300.pre.poly.3.LG","STN078.440.pre.poly.3.LG","STN089.1271.pre.poly.3.LG","STN089.2.pre.poly.3.LG","STN089.200.pre.poly.3.LG","STN089.300.pre.poly.3.LG","STN089.500.pre.poly.3.LG","STN106.100.pre.poly.3.S","STN106.170.pre.poly.2.LG","STN106.20.pre.poly.3.S","STN106.318.pre.poly.2.LG","STN132.100.pre.poly.3.S","STN132.200.pre.poly.3.S","STN132.30.pre.poly.3.S","STN132.305.pre.poly.3.S","STN132.505.pre.poly.3.S","STN146.160.pre.poly.3.S","STN146.201.pre.poly.3.S","STN146.250.pre.poly.3.S","STN146.268.pre.poly.3.S","STN146.30.pre.poly.3.S","STN153.160.pre.poly.3.S","STN153.2.pre.poly.3.S","STN153.548.pre.poly.3.S","STN174.280.pre.poly.3.S","STN174.3.pre.poly.3.S","STN174.550.pre.poly.3.S","STN174.620.pre.poly.3.S","STN198.1487.pre.poly.3.S","STN198.150.pre.poly.3.LG","STN198.20.pre.poly.3.S","STN198.300.pre.poly.3.S","STN198.376.pre.poly.3.S","STN20.175.pre.poly.3.LG","STN20.25.pre.poly.3.LG","STN20.499.pre.poly.3.LG","STN22.150.pre.poly.3.LG","STN22.2.pre.poly.3.LG","STN22.250.pre.poly.3.LG","STN22.325.pre.poly.3.LG","STN22.465.pre.poly.3.LG","STN22.610.pre.poly.3.LG"
"Seq1",0.00876902713434811,0.253168287651046,0.381931015874444,0.300409988818487,0.0080091533180778,0.500774567252644,0.618541465355539,0.423176823176823,0.422936692078223,0.518681518802926,0.560122408062048,0.663972876317867,0.684578749947317,0.0142125742371493,0.602586880818705,0.657503915321056,0.743213267138481,0.488820089439285,0.0151452891106545,0.563107620462747,0.00745542949756888,0.0220271102895872,0.0068781894830264,0.0175706646294882,0.00575751079533274,0.0212945879458795,0.473461863430371,0.621640735502122,0.654952960708356,0.706968915780727,0.738208135762416,0.710422728050659,0.104868913857678,0.427789934354486,0.0185491884730043,0.358406255818283,0.409551374819103,0.75983446932814,0.73538788522848,0.0113826073759296,0.499514344602118,0.00390314669614176,0.009091269998809,0.0455975895547372,0.0622261174408414,0.00306877281390316,0.140891745330388,0.00591307350338815,0.509580309488154,0.0359025443074752,0.00255247986621485,0.0467250730079266,0.0404246631278073,0.17043966323667,0.0133635334088335,0.181157980308915,0.0651219347429575,0.068053962532088,0.176024140453548,0.0639658848614073,0.460098453858421,0.666336633663366,0.436720493632664,0.818495790804527,0.714457523962243,0.702076397406694,0.630889837465113
"Seq3",0.416694242223693,0.102858826996758,0.0217205558303728,0.04890048453224,0.191387559808612,0.0136054421768707,0.0117660433126812,0.0115884115884116,0.0111368909512761,0.0139618174644125,0.0279639107265341,0.0119362779248525,0.0222109832680069,0.458242883473275,0.0552910240921043,0.0253820813306691,0.0223935776909264,0.0392844857241142,0.506545347813325,0.019231585650605,0.57257698541329,0.53943314849045,0.506915168996376,0.356251591545709,0.28652803724007,0.370233702337023,0.0691297334664721,0.00207743988684583,0.00719424460431655,0.00389884313015318,0.00358747192413277,0.00350847167550916,0.211610486891386,0.0696571845368344,0.218284200066247,0.02811394526159,0.044862518089725,0.00248296007789679,0.0106269925611052,0.0282288662923054,0.00606476984672242,0.449241822389555,0.466751359720513,0.410780046869769,0.342243645924628,0.338727912911458,0.115987146013256,0.0779489835556131,0.0344046384825097,0.0605985140912298,0.0369229415130044,0.0454735085523571,0.0382298897509187,0.00357551190104979,0.0101925254813137,0.139770571764068,0.0211781395663041,0.0249057840406358,0.0815654718361375,0.358208955223881,0.01664008874714,0.00120533792509686,0.104765655769988,0.00237441795923402,0.00440978169758373,0.00464342036096022,0.0057051387292727
"Seq4",0,0.0100206307102859,0.0156046229257544,0.00737979873276183,0.00104014978156855,0.00895803866100896,0.00835559597567214,0.0157842157842158,0.0181637388133908,0.0148420190002125,0.0156703424260012,0.0182063071849891,0.00948286761916804,0.000819168543927913,0.0126501314760856,0.0115569476697089,0.0147353966409633,0.0108703130374957,0.0094511300264162,0.0163871789428996,0,0.00308071472581639,0,0.00152788388082506,0.129972743698894,0.00338253382533825,0.0103694600199708,0.0107850070721358,0.0218594355285003,0.0129535334597439,0.0129460943349139,0.00885675166866336,0.0168539325842697,0.0144055433989788,0.00165617754223253,0.0143362502327313,0.044862518089725,0,0.00797024442082891,0.0387767491273334,0.0135035891118429,0.00072536354530068,0.00111159633173211,0.0033478406427854,0.00632277450857644,0.000290725845527667,0.0029122313717614,0.000431611204626872,0.0153976116422839,0.00556178143029096,0,0.00512545443709399,0.00331768068599428,0.00189169524997402,0,0.0117062595971457,0.00685671823279065,0.00305860505762193,0.00877834674469642,0,0.0171254246689316,0.0035729659922514,0.00452934226073257,0.00592062659964846,0.0105324538066256,0.0109076572630103,0.0138318831062223
"Seq5",0.22005294506949,0.0555555555555556,0.00845437783873724,0.0987700335445397,0.546390680257957,0.0109112952111538,0.0161996248507929,0.0126873126873127,0.0101425256877693,0.0107748808692749,0.012188044109112,0.00436579815150248,0.0401230665486576,0.225107515871391,0.0503873214412622,0.0301884754549873,0.0253512200274638,0.0356381148950808,0.306604050484297,0.0100191042241562,0.154489465153971,0.0617683302526186,0.143258634716367,0.0748663101604278,0.095366428812054,0.0452029520295203,0.0192795145556494,0,0.00857775318206973,0.000873511302384047,0.00140379336161717,0.000812938558959439,0.260299625468165,0.0286287381473377,0.498840675720437,0.022342208154906,0.0578871201157742,0.00150925024342746,0.0733262486716259,0.0108514190317195,0.00409845774798038,0.155158716451936,0.101750764222478,0.0465349849347171,0.0413797420808814,0.24579255095778,0.0596505322353886,0.0736328715093444,0.0177782897515647,0.0460714730419624,0.0428200501694319,0.059121520948805,0.0710494079216007,0.00488514707410872,0.0645526613816535,0.265829645018517,0.0102006350064176,0.0133267791796384,0.0351133869787857,0.326226012793177,0.0128267350759204,0.00236762806715454,0.0520546146776946,0.00033920256560486,0.00116622325886512,0.000876117049237778,0.001559678213758
"Seq6",0.257197220383852,0.0751547303271441,0.0136709088456177,0.0485277674245248,0.0781152485957978,0.0155586987270156,0.0111407946342295,0.00949050949050949,0.00835266821345708,0.00971256867089568,0.0122408062048225,0.00761692443453625,0.0107472499683904,0.19340569322138,0.0235946272475304,0.0123670140951558,0.0128868701806274,0.0213966288269694,0.045259759319049,0.00806622797707493,0.208298217179903,0.180991990141713,0.202721692182531,0.196842373312962,0.116375218203534,0.251614391143911,0.0359474614025655,0.00132602545968883,0,0.00132091953043441,0.0030259545794859,0.00158309087797364,0.0955056179775281,0.0386579139314369,0.104339185160649,0.0171290262520946,0.0188133140376266,0.00155793573515093,0.00478214665249734,0.011686143572621,0.00483286347160693,0.275154571517391,0.243518996387312,0.190492132574489,0.148366094904219,0.22834900022612,0.150130548302872,0.236350295653675,0.0245747417732212,0.171834142697049,0.051049597324297,0.118004648667978,0.0712535728868926,0.0115788379586322,0.0708946772366931,0.0673651883298708,0.143889752077282,0.161450652684472,0.123079736649598,0.17910447761194,0.00818137696734383,0.00163581575548859,0.069515557306026,0.00120262727805359,0.00112977878202558,0.001182758016471,0.00135445739615827
"Seq7",0.000330906684315023,0.00235779546124374,0.00296802626253541,0.00380171449869549,0.000312044934470564,0.00377180575200377,0.00335360654805889,0.0040959040959041,0.00298309579052038,0.00251919749901357,0.0034295362211787,0.00399424086201291,0.00278164116828929,0.000245750563178374,0.00490370265084216,0.00264621698979316,0.00290482729481356,0.00454076367389061,0.0221309069562665,0.00335385268520484,0.000388978930307942,0,0.000295836106796835,0.000254647313470843,0.0934064251370471,0,0.00506951378754129,0,0.00359712230215827,0.00262053390715214,0.00340029947591714,0.00333732671572822,0,0.00692924872355945,0,0.00521318190281139,0,0.00233690360272639,0,0.00910608590074366,0.00457226789225557,0.000828986908915063,0.00103219659375124,0.00120522263140275,0.00219106047326906,0.00277804696837549,0.00160674834304077,0.00224437826405974,0.0037630073340245,0.00203378574689744,0.00167231439510628,0.00143035937779367,0.00102082482645978,0,0.00203850509626274,0.130376659741667,0.000945754239005607,0,0.00128017556693489,0,0.00547736254593358,0.00245372363323289,0.00210056452671655,0.00181935921551698,0.00284266919348373,0.00223409847555633,0.00262682646527664
"Seq16",0,0.0156203949307398,0.0205513333633134,0.0105106224375699,0.000624089868941127,0,0,0,0,0,0,0,0,0,0,0,0.000422520333791064,0.00412796697626419,0,0,0,0,0,0.00140056022408964,0,0,0.00637529764190798,0.00402227722772277,0,0.00153397106760125,0.00343149488395308,0.00415026527468766,0.00936329588014981,0,0,0,0,0,0.00425079702444208,0.00599483988465625,0.000355357608206392,0,0,0,0,0,0,0,0,0,0,0,0,0.0016214530714063,0,0.000325173877698492,0,0,0.00228602779809802,0,0,0.0220404649160568,0,0,0,0,0
"Seq17",0.0217157511581734,0.091806660772178,0.020731213742861,0.0995154677599702,0.0905970459746203,0.0435778271704721,0.0237026089922128,0.0151848151848152,0.0222074908849851,0.0638601390111391,0.068221389753601,0.00603780595420556,0.0574451047330046,0.0348556215441327,0.00845711036884372,0.00707458011556948,0.00691877046582867,0.108840729274166,0.0048136190196654,0.0168117172574825,0.026385737439222,0.100739371534196,0.0732933954589158,0.259867583396995,0.0183137843383456,0.203413284132841,0.023043244488824,0.00145862800565771,0.00193691200885445,0.00193876898821825,0.00230846019465935,0.00154030463802841,0.0711610486891386,0.0516046681254559,0.0688969857568731,0.048780487804878,0.0130246020260492,0.0057935735150925,0.0170031880977683,0.0176050994081044,0.0052592926014546,0.0665607405616386,0.0687601730914288,0.0724472715098761,0.0954676349067234,0.0893174403204445,0.091685077324764,0.183693728689197,0.0163191644587797,0.27418752334703,0.0446683976587598,0.196853209368854,0.254134340547162,0.03195094065066,0.106908267270668,0.000523891247403125,0.0631628723907316,0.0818176852913867,0.302395757132407,0.0255863539445629,0.0158774180128961,0.00581145071028842,0.0703689116450046,0.00101760769681458,0.00138489011990233,0.00122656386893289,0.00225742899359711
"Seq19",0,0.000442086648983201,0.00382245806538652,0.00245993291092061,0,0.00363709840371792,0.00233047234695618,0.0037962037962038,0.00464037122969838,0.003095881263848,0.00321848783833694,0.00459802145743347,0.0028237872465967,0,0.00234524909388103,0.00388831884214506,0.00242949191929862,0.00233918128654971,0,0.0030991296964551,0,0.000308071472581639,0,0,0.00303188068477628,0,0.00276518933865888,0.000707213578500707,0,0.00257792359971877,0.00364986274020464,0.00325175423583775,0,0.00364697301239971,0,0.0044684416309812,0,0.00175267770204479,0,0.0113067233267567,0.0033877425315676,0,0,0.000736524941412789,0.000563415550269187,0,0.00130548302872063,0,0.00464616211649964,0,0,0.000476786459264557,0.00051041241322989,0,0,0,0.000776869553468891,0.000819269211863018,0.000457205559619605,0,0.00547736254593358,0.00206629358588033,0.00196927924379677,0.00144932005303895,0.00338933634607675,0.00389872086910811,0.00303726810047611
"Seq25",0,0.0776598880047156,0.00575617214552323,0.033544539694372,0,0,0,0,0.00603248259860789,0.0324460497162109,0.042895583812589,0.00343690492777855,0.0198508028827918,0.000860126971124309,0,0.00448236755413944,0.00306327241998521,0.0493980048159615,0.00076313472262988,0.010273827212906,0,0.00878003696857671,0,0.01056786350904,0.0495819679661899,0.0309809348093481,0,0,0,0,0,0,0.0299625468164794,0.0406637490882567,0,0.071122695959784,0.0434153400868307,0.00900681596884128,0,0.0478828350280771,0.0236431261993319,0.00110531587855342,0.0248124181190202,0.0401740877134248,0.0508952047076499,0,0,0,0.00460776408247898,0.0590627983231644,0,0.0289647774003218,0.0164352797060025,0.00255690676644839,0,0.00108391292566164,0.0199959467675471,0.0112512971762521,0.0730614484272129,0,0,0,0.00912432716292504,0,0,0,0
"Seq33",0.049470549305096,0,0.00188874398524981,0.00275810659709281,0.0441023507385063,0,0.00164838287955437,0.0012987012987013,0,0.00224603150514463,0.00142457658418192,0,0.00193871960214102,0.0274011877943887,0.00326913510056144,0.00264621698979316,0.00174289637688814,0.00350877192982456,0.0156442618139125,0.000849076629165782,0.00661264181523501,0.0100123228589033,0.0316544634272613,0.0160427807486631,0.00171500321563103,0.00299815498154982,0,0,0,0,0,0,0.0299625468164794,0.00656455142231947,0.0331235508446505,0,0.00434153400868307,0,0.00212539851222104,0.00159356503263014,0.000402738622633911,0.0024178784843356,0.0024613918774068,0.00174087713424841,0.00331789157380744,0.00258422973802371,0.0341434022896164,0.0310760067331348,0.00410858964021042,0,0.00343264533732342,0.00119196614816139,0.00142915475704369,0.00440702629664276,0.000339750849377123,0.000162586938849246,0.00526920218874552,0.00906657927795074,0.00512070226773958,0,0.002496013312071,0,0.00301956150715505,0.000493385549970705,0.000328000291555815,0,0.000533574125759317
"Seq34",0,0,0.00175383370058911,0.00141632500931793,0,0.00175119552771604,0.00142101972375377,0.002997002997003,0,0.00121407108386196,0.00205772173270722,0,0.00151725881906689,0,0.00191884016772084,0,0.00190134150205979,0,0,0.0023349607302059,0,0,0,0,0.00349125654610602,0,0,0.000928217821782178,0.00193691200885445,0.00151266591388457,0.00202770152233591,0.00115522847852131,0,0.0025528811086798,0,0.00167566561161795,0,0.00107108081791626,0,0.00159356503263014,0.00213214564923835,0,0,0,0.00075122073369225,0,0,0,0.00142072725876435,0,0,0,0,0,0,5.41956462830819e-05,0.0014861852327231,0.000983123054235622,0.00100585223116313,0,0.001664008874714,0.000947051226861817,0.000722069056058816,0.000709241728082889,0.00134844564306279,0.00170842824601367,0
"Seq37",0.00550132362673726,0.00751547303271441,0.00638575347393983,0.0032053671263511,0.00176825462866653,0.00431063514514717,0.00227363155800602,0.0035964035964036,0.00483924428239974,0.00543296810028227,0.00770326597372448,0.00371557289489573,0.00252876469844481,0.00479213598197829,0.00220311278516097,0.0016741372792569,0.0024823069610225,0.00612315101479188,0.00554740240680951,0.00441519847166207,0.00764991896272285,0.00292667898952557,0.00724798461652245,0.00509294626941686,0.0232750436407068,0.00522755227552276,0.00261156770873339,0.00636492220650637,0.0102379634753735,0.00308924728891919,0.00274519590716247,0.00226767071709738,0,0.00218818380743982,0.00563100364359059,0.003723701359151,0.00723589001447178,0.000973709834469328,0.0170031880977683,0.0152526938837456,0.0045011963706143,0.00528479154433353,0.00531978244471793,0.00220957482423837,0.00507073995242269,0.00723584326646639,0.173729664591283,0.184082178773361,0.022462849902085,0.0166023326277342,0.0153588874708445,0.00595983074080696,0.00673744385463454,0.00378339049994803,0.0428086070215176,0.0177581067654232,0.00432344794973992,0.00453328963897537,0.00978419897585955,0,0.00388268737433266,0.0012914334911752,0.00229749245109623,0.00157266644053162,0.0030248915776814,0.00289118626248467,0.00357084222623543
"Seq38",0,0,0,0,0,0,0,0,0,0.000576683764834431,0,0,0,0,0,0,0,0,0.00070443205165835,0.000339630651666313,0,0,0,0,0.00722751355158791,0,0,0,0,0.00285489059803566,0.000811080608934365,0,0,0,0,0,0,0,0,0.000531188344210047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015839204762685,0,0,0,0,0,0.000215856178112184,0,0,0
"Seq39",0,0.00501031535514294,0.00139407294149391,0.00924338427133805,0,0.00161648817943019,0.00102313420110271,0,0.00132582035134239,0.00251919749901357,0.00232153221125943,0.0013468951743997,0.00269734901167446,0,0.00156349939592069,0.00129610628071502,0.00153163620999261,0.00254557963536292,0.000293513354857646,0.00284440670770537,0.000129659643435981,0,0,0.000509294626941686,0.0143937769883319,0.000768757687576876,0.00207389200399416,0.00101661951909477,0.00166021029330382,0.00217312567910177,0.00174694285001248,0.00102686975868561,0,0.00565280816921955,0,0.003723701359151,0,0.00107108081791626,0,0.00409773865533465,0.0033877425315676,0,0,0.000468697689989956,0.00131463628396144,0,0,0,0.00199669776907422,0.000954634126094716,0,0.000893974611121044,0.000306247447937934,0.00047812077746596,0,0,0.00114841586164967,0.000436943579660276,0.003474762253109,0,0.00173334257782708,0.00103314679294016,0.00262570565839569,0.00067840513120972,0.000801778490469769,0.000963728754161556,0.00151863405023806
"Seq40",0,0.00751547303271441,0.0129513873274273,0,0,0.00390651310028962,0.00346728812595919,0.00999000999000999,0.0274444812727875,0.00109266397547576,0.000369334669973091,0,0.000590045096303789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000276966998316893,0.000343149488395308,0.000385076159507102,0,0,0,0,0,0,0,0.000682956442555775,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000187090739008419,0,0,0,0,0,0,0.00422935588989808,0.000817907877744296,0.00183799396087699,0,0.00269689128612559,0.00459961450849834,0.00718272861599081
